nuts2_id,year,country
AT22,2024,AT
AT22,2025,AT
AT31,1986,AT
AT31,1987,AT
AT31,1988,AT
AT31,1989,AT
AT31,1990,AT
AT31,1991,AT
AT31,1992,AT
AT31,1993,AT
AT31,1994,AT
AT31,1995,AT
AT31,1996,AT
AT31,1997,AT
AT31,1998,AT
AT31,1999,AT
AT31,2000,AT
AT31,2001,AT
AT31,2002,AT
AT31,2003,AT
AT31,2004,AT
AT31,2005,AT
AT31,2006,AT
AT31,2007,AT
AT31,2008,AT
AT31,2009,AT
AT31,2010,AT
AT31,2011,AT
AT31,2012,AT
AT31,2013,AT
AT31,2014,AT
AT31,2015,AT
AT31,2016,AT
AT31,2017,AT
AT31,2018,AT
AT31,2019,AT
AT31,2020,AT
AT31,2021,AT
AT31,2022,AT
AT31,2023,AT
AT31,2024,AT
AT31,2025,AT
AT32,1986,AT
AT32,1987,AT
AT32,1988,AT
AT32,1989,AT
AT32,1990,AT
AT32,1991,AT
AT32,1992,AT
AT32,1993,AT
AT32,1994,AT
AT32,1995,AT
AT32,1996,AT
AT32,1997,AT
AT32,1998,AT
AT32,1999,AT
AT32,2000,AT
AT32,2001,AT
AT32,2002,AT
AT32,2003,AT
AT32,2004,AT
AT32,2005,AT
AT32,2006,AT
AT32,2007,AT
AT32,2008,AT
AT32,2009,AT
AT32,2010,AT
AT32,2011,AT
AT32,2012,AT
AT32,2013,AT
AT32,2014,AT
AT32,2015,AT
AT32,2016,AT
AT32,2017,AT
AT32,2018,AT
AT32,2019,AT
AT32,2020,AT
AT32,2021,AT
AT32,2022,AT
AT32,2023,AT
AT32,2024,AT
AT32,2025,AT
AT33,1986,AT
AT33,1987,AT
AT33,1988,AT
AT33,1989,AT
AT33,1990,AT
AT33,1991,AT
AT33,1992,AT
AT33,1993,AT
AT33,1994,AT
AT33,1995,AT
AT33,1996,AT
AT33,1997,AT
AT33,1998,AT
AT33,1999,AT
AT33,2000,AT
AT33,2001,AT
AT33,2002,AT
AT33,2003,AT
AT33,2004,AT
AT33,2005,AT
AT33,2006,AT
AT33,2007,AT
AT33,2008,AT
AT33,2009,AT
AT33,2010,AT
AT33,2011,AT
AT33,2012,AT
AT33,2013,AT
AT33,2014,AT
AT33,2015,AT
AT33,2016,AT
AT33,2017,AT
AT33,2018,AT
AT33,2019,AT
AT33,2020,AT
AT33,2021,AT
AT33,2022,AT
AT33,2023,AT
AT33,2024,AT
AT33,2025,AT
AT34,1986,AT
AT34,1987,AT
AT34,1988,AT
AT34,1989,AT
AT34,1990,AT
AT34,1991,AT
AT34,1992,AT
AT34,1993,AT
AT34,1994,AT
AT34,1995,AT
AT34,1996,AT
AT34,1997,AT
AT34,1998,AT
AT34,1999,AT
AT34,2000,AT
AT34,2001,AT
AT34,2002,AT
AT34,2003,AT
AT34,2004,AT
AT34,2005,AT
AT34,2006,AT
AT34,2007,AT
