nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
BE10,2020,12.3,56.5,49.3,,100.1
BE10,2021,12.4,57.3,52.2,2.49,104.2
BE10,2022,11.4,59.9,53.5,2.32,106
BE10,2023,10.6,61,53.8,2.45,106.5
BE10,2024,11.8,58.9,53.7,,
BE21,2013,6.2,64,35.4,2.68,
BE21,2014,6.1,64.1,38.1,3.02,96.7
BE21,2015,6.1,64.8,37.6,3.12,100
BE21,2016,6.1,63.9,34.9,3.24,101.3
BE21,2017,5.9,65.5,38.2,3.45,102.5
BE21,2018,4.4,67.7,40,,104.3
BE21,2019,3.6,69.3,40,,106.9
BE21,2020,4,67.7,41,,103.5
BE21,2021,5.2,67.7,43.5,,108.9
BE21,2022,4,70.8,47.1,4.13,115.5
BE21,2023,3.6,70.5,46.1,4.15,116.5
BE21,2024,4.6,70.6,46.1,,
BE22,2013,5.5,64.1,28.7,1.3,
BE22,2014,5.6,64.1,31.1,1.32,99.4
BE22,2015,6,63.8,32.1,1.36,100
BE22,2016,4.8,64.8,32.9,1.49,101.4
BE22,2017,4.1,67.1,35.4,1.58,103.4
BE22,2018,3.8,67.8,35.8,,105.2
BE22,2019,3.6,68.1,36.7,,106.3
BE22,2020,3.6,67,37.7,,101.4
BE22,2021,3.4,68.4,39.2,,107.8
BE22,2022,3.5,70.3,43.7,1.82,112.1
BE22,2023,3.2,71.6,42.2,1.94,112.9
BE22,2024,3.8,70.7,38.5,,
BE23,2013,4,68.5,37.3,2.68,
BE23,2014,4.3,68.3,36.7,2.5,96.1
BE23,2015,4.4,67.6,37.5,2.49,100
BE23,2016,4.2,68.3,39.6,2.73,101.4
BE23,2017,3.4,68.1,42.6,2.7,103.8
BE23,2018,2.7,70.4,42.8,,104.6
BE23,2019,2.9,71.5,41.5,,106.6
BE23,2020,2.7,71.8,44.1,,103.3
BE23,2021,2.8,73.9,50,,111.7
BE23,2022,2,74.7,49.6,3.45,117.1
BE23,2023,2.9,73.5,46.8,3.45,117.4
BE23,2024,3.4,73.4,48.5,,
BE24,2013,5.5,67.2,44.3,3.98,
BE24,2014,5,67.6,45.8,4.16,97.1
BE24,2015,5.1,67.5,44.7,4.22,100
BE24,2016,4.8,67.6,47.3,4,101.8
BE24,2017,4.7,67.9,50.7,4.21,103.4
BE24,2018,3.6,69.6,48.7,,105.7
BE24,2019,3.6,70.1,49.2,,108.1
BE24,2020,3.9,68.8,51.4,,101.8
BE24,2021,4,67.8,53.2,,113.1
