nuts2_id,year,population,erdf_eur,erdf_eur_pc,erdf_eur_pc_l1,erdf_eur_pc_l2,erdf_eur_pc_l3
FRD1,1989,,0,,,,
FRD1,1990,,0,,,,
FRD1,1991,,0,,,,
FRD1,1992,,0,,,,
FRD1,1993,,0,,,,
FRD1,1994,,0,,,,
FRD1,1995,,0,,,,
FRD1,1996,,0,,,,
FRD1,1997,,0,,,,
FRD1,1998,,0,,,,
FRD1,1999,,0,,,,
FRD1,2000,,0,,,,
FRD1,2001,,0,,,,
FRD1,2002,,0,,,,
FRD1,2003,,0,,,,
FRD1,2004,,0,,,,
FRD1,2005,,0,,,,
FRD1,2006,,0,,,,
FRD1,2007,,0,,,,
FRD1,2008,,0,,,,
FRD1,2009,,0,,,,
FRD1,2010,,0,,,,
FRD1,2011,,0,,,,
FRD1,2012,,0,,,,
FRD1,2013,,0,,,,
FRD1,2014,,0,,,,
FRD1,2015,,0,,,,
FRD1,2016,1477349,0,0,,,
FRD1,2017,1474257,0,0,0,,
FRD1,2018,1471632,0,0,0,0,
FRD1,2019,1469892,0,0,0,0,0
FRD1,2020,1471115,0,0,0,0,0
FRD1,2021,1473114,0,0,0,0,0
FRD1,2022,1477564,0,0,0,0,0
FRD1,2023,1477731,0,0,0,0,0
FRD1,2024,1484402,0,0,0,0,0
FRD1,2025,1486036,0,0,0,0,0
FRD2,1986,,0,,,,
FRD2,1987,,0,,,,
FRD2,1988,,0,,,,
FRD2,1989,,0,,,,
FRD2,1990,,0,,,,
FRD2,1991,,0,,,,
FRD2,1992,,0,,,,
FRD2,1993,,0,,,,
FRD2,1994,,0,,,,
FRD2,1995,,0,,,,
FRD2,1996,,0,,,,
FRD2,1997,,0,,,,
FRD2,1998,,0,,,,
FRD2,1999,,0,,,,
FRD2,2000,,0,,,,
FRD2,2001,,0,,,,
FRD2,2002,,0,,,,
FRD2,2003,,0,,,,
FRD2,2004,,0,,,,
FRD2,2005,,0,,,,
FRD2,2006,,0,,,,
FRD2,2007,,0,,,,
FRD2,2008,,0,,,,
FRD2,2009,,0,,,,
FRD2,2010,,0,,,,
FRD2,2011,,0,,,,
FRD2,2012,,0,,,,
FRD2,2013,,0,,,,
FRD2,2014,,0,,,,
