STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL02,Qender,2018,,6327.54,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL02,Qender,2019,,6789.07,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL02,Qender,2020,,6628.26,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL02,Qender,2021,,7646.74,,p,provisional,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2014,,3143.06,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2015,,3008.27,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2016,,3119.93,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2017,,3211.98,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2018,,3545.66,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2019,,3800.1,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2020,,3685.89,,,,,
dataflow,ESTAT:NAMA_10R_2GDP$DEFAULTVIEW(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,MIO_EUR,Million euro,AL03,Jug,2021,,4120.24,,p,provisional,,
