nuts2_id,country,erdf_eur_pc_cum_2014_2020,erdf_eur_pc_cum_2015_2020
SE31,SE,105.9606072,105.9606072
SE32,SE,223.7985849,223.7985849
SE33,SE,230.161835,230.161835
SI01,SI,0,0
SI02,SI,0,0
SI03,SI,53.65317417,53.65317417
SI04,SI,39.11547613,39.11547613
SK01,SK,303.9416537,303.9416537
SK02,SK,514.2426251,514.2426251
SK03,SK,560.3171848,560.3171848
SK04,SK,537.0040151,537.0040151
TR10,TR,0,0
TR21,TR,0,0
TR22,TR,0,0
TR31,TR,0,0
TR32,TR,0,0
TR33,TR,0,0
TR41,TR,0,0
TR42,TR,0,0
TR51,TR,0,0
TR52,TR,0,0
TR61,TR,0,0
TR62,TR,0,0
TR63,TR,0,0
TR71,TR,0,0
TR72,TR,0,0
TR81,TR,0,0
TR82,TR,0,0
TR83,TR,0,0
TR90,TR,0,0
TRA1,TR,0,0
TRA2,TR,0,0
TRB1,TR,0,0
TRB2,TR,0,0
TRC1,TR,0,0
TRC2,TR,0,0
TRC3,TR,0,0
UKC1,UK,41.43802591,41.43802591
UKC2,UK,21.35970286,21.35970286
UKD1,UK,24.09776043,24.09776043
UKD3,UK,10.40111675,10.40111675
UKD4,UK,28.3038518,28.3038518
UKD6,UK,13.49267444,13.49267444
UKD7,UK,58.54536535,58.54536535
UKE1,UK,32.5924004,32.5924004
UKE2,UK,18.62515606,18.62515606
UKE3,UK,55.14911737,55.14911737
UKE4,UK,16.39028368,16.39028368
UKF1,UK,38.89521236,38.89521236
UKF2,UK,26.95169423,26.95169423
UKF3,UK,28.1103666,28.1103666
UKG1,UK,18.97509583,18.97509583
UKG2,UK,37.34024543,37.34024543
UKG3,UK,28.26139047,28.26139047
UKH1,UK,13.19128329,13.19128329
UKH2,UK,13.60306398,13.60306398
UKH3,UK,11.2087875,11.2087875
UKI1,UK,0,0
UKI2,UK,0,0
UKI3,UK,0,0
UKI4,UK,0,0
UKI5,UK,0,0
UKI6,UK,0,0
UKI7,UK,0,0
UKJ1,UK,12.19083846,12.19083846
UKJ2,UK,12.17231095,12.17231095
UKJ3,UK,12.19244057,12.19244057
UKJ4,UK,7.393761113,7.393761113
UKK1,UK,16.63915607,16.63915607
UKK2,UK,11.61857186,11.61857186
UKK3,UK,328.642423,328.642423
UKK4,UK,29.13457992,29.13457992
UKL1,UK,177.8935817,177.8935817
UKL2,UK,71.81380914,71.81380914
UKM2,UK,0,0
UKM3,UK,0,0
UKM5,UK,19.09481158,19.09481158
UKM6,UK,17.27197763,17.27197763
UKM7,UK,0,0
UKM8,UK,0,0
UKM9,UK,0,0
UKN0,UK,55.7061398,55.7061398
