outcome,window,model,sample_type,term,instrument,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,first_stage_f_stat,n_obs,n_regions,controls_used,fe_spec
gdp_pc_real_growth,post_2016_2020,IV 2SLS cross-section (selected candidate),cross_section,erdf_eur_pc_cum_2014_2020,eligible_lt90,-0.003629479178,0.002129239142,-1.704589732,0.08827096778,-0.007802711212,0.0005437528551,15.65361112,265,265,"log_gdp_pc_real_pre_2010_2013,unemp_rate_pre_2010_2013,emp_rate_pre_2010_2013",country_FE
gdp_pc_real_growth,post_2021_2023,IV 2SLS cross-section (selected candidate),cross_section,erdf_eur_pc_cum_2014_2020,eligible_lt90,-0.00508530814,0.00279846955,-1.817174727,0.06919036348,-0.01057020767,0.0003995913896,15.65361112,265,265,"log_gdp_pc_real_pre_2010_2013,unemp_rate_pre_2010_2013,emp_rate_pre_2010_2013",country_FE
gdp_pc_pps_growth,post_2016_2020,IV 2SLS cross-section (selected candidate),cross_section,erdf_eur_pc_cum_2014_2020,eligible_lt90,-0.00246706442,0.001670237908,-1.477073661,0.1396558931,-0.005740670565,0.0008065417241,15.65361112,265,265,"log_gdp_pc_real_pre_2010_2013,unemp_rate_pre_2010_2013,emp_rate_pre_2010_2013",country_FE
gdp_pc_pps_growth,post_2021_2023,IV 2SLS cross-section (selected candidate),cross_section,erdf_eur_pc_cum_2014_2020,eligible_lt90,-0.0009983393453,0.002208630655,-0.4520173361,0.6512564935,-0.005327175885,0.003330497194,15.65361112,265,265,"log_gdp_pc_real_pre_2010_2013,unemp_rate_pre_2010_2013,emp_rate_pre_2010_2013",country_FE
