outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,category_2014_2020
gdp_pc_real_growth,Model E (category subset),emp_rate,0.08024665882,0.06698637737,1.197954897,0.2309345762,-0.05104422829,0.2115375459,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),tertiary_share_25_64,0.05658843844,0.0399486317,1.41653008,0.1566203637,-0.02170944092,0.1348863178,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),rd_gerd,0.291414681,0.2695408765,1.081152086,0.2796294672,-0.2368757293,0.8197050912,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_real_growth,Model E (category subset),gva,0.8333360904,0.03748926837,22.22865707,1.814827124e-109,0.7598584746,0.9068137062,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),log_gdp_pc_pps_l1,-42.20743265,5.111296406,-8.257676585,1.485353625e-16,-52.22538952,-32.18947578,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1,0.3077063975,0.126728715,2.428071629,0.01517934502,0.05932268028,0.5560901148,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_pps_l1,-0.03159540104,0.01287682741,-2.453663471,0.01414092497,-0.056833519,-0.006357283085,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),unemp_rate,-0.1210133137,0.1311812123,-0.9224896731,0.3562732145,-0.3781237653,0.1360971379,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),emp_rate,-0.05393220503,0.1265791928,-0.4260748063,0.6700533375,-0.302022864,0.194158454,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),tertiary_share_25_64,-0.3845353784,0.1598993139,-2.404859464,0.01617868615,-0.6979322748,-0.07113848194,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),rd_gerd,-2.190264671,1.220345016,-1.794791344,0.07268695047,-4.582096951,0.2015676088,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
