estimator,outcome,window,bandwidth,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_left,n_right,cutoff,kernel,polynomial_order,treatment_var,first_stage_f_stat
fuzzy_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,10,-0.003777806991,0.004203828091,-0.8986587724,0.3688344432,-0.01201715865,0.004461544664,53,24,29,75,triangular,1,erdf_eur_pc_cum_2014_2020,1.787238864
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,10,-1.970789659,1.536487246,-1.282659302,0.199611464,-4.982249323,1.040670006,53,24,29,75,triangular,1,eligible_lt75,
fuzzy_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,10,0.005444839945,0.005153143486,1.056605538,0.2906916521,-0.004655135696,0.01554481559,53,24,29,75,triangular,1,erdf_eur_pc_cum_2014_2020,1.787238864
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,10,2.840440044,1.201785697,2.363516266,0.01810243197,0.4849833599,5.195896727,53,24,29,75,triangular,1,eligible_lt75,
fuzzy_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,10,-0.0003044206019,0.002537506278,-0.1199684133,0.9045081697,-0.005277841517,0.004669000313,53,24,29,75,triangular,1,erdf_eur_pc_cum_2014_2020,1.787238864
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,10,-0.1588087945,1.375125184,-0.1154867909,0.9080592898,-2.854004629,2.53638704,53,24,29,75,triangular,1,eligible_lt75,
fuzzy_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,10,0.004639333043,0.004081082982,1.136789686,0.2556262159,-0.003359442619,0.01263810871,53,24,29,75,triangular,1,erdf_eur_pc_cum_2014_2020,1.787238864
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,10,2.420226763,0.9750722535,2.48209992,0.01306106449,0.5091202634,4.331333262,53,24,29,75,triangular,1,eligible_lt75,
